x1	y1	z1	x2	y2	z2
60	20	20	60	-20	20
60	-20	20	60	-20	-20
60	-20	-20	60	20	-20
60	20	-20	60	20	20
-60	20	20	-60	-20	20
-60	-20	20	-60	-20	-20
-60	-20	-20	-60	20	-20
-60	20	-20	-60	20	20
60	20	20	-60	20	20
60	-20	20	-60	-20	20
60	-20	-20	-60	-20	-20
60	20	-20	-60	20	-20
20	60	20	20	60	-20
-20	60	-20	20	60	-20
-20	60	-20	-20	60	20
20	60	20	-20	60	20
20	-60	20	20	-60	-20
-20	-60	-20	20	-60	-20
-20	-60	-20	-20	-60	20
20	-60	20	-20	-60	20
20	60	20	20	-60	20
20	60	-20	20	-60	-20
-20	60	-20	-20	-60	-20
-20	60	20	-20	-60	20
-20	20	60	20	20	60
-20	-20	60	-20	20	60
20	-20	60	-20	-20	60
20	20	60	20	-20	60
-20	20	-60	20	20	-60
-20	-20	-60	-20	20	-60
20	-20	-60	-20	-20	-60
20	20	-60	20	-20	-60
20	20	60	20	20	-60
-20	20	60	-20	20	-60
-20	-20	60	-20	-20	-60
20	-20	60	20	-20	-60
